currency	prev_day_close	last	last_time	volume	full_volume
AUDUSD	0.7996	0.8003	2018-01-24 02:54:00	11711	11711
BTCUSD	10782.96	10625.46	2018-01-24 02:53:59	21526	0
EURUSD	1.2297	1.231	2018-01-24 02:54:00	13854	0
GBPUSD	1.3999	1.4023	2018-01-24 02:54:00	19301	0
ILSUSD	3.4086	3.4074	2018-01-24 01:59:00	35	35
NZDUSD	0.7352	0.7356	2018-01-24 02:54:00	5781	5781
USDBRL	3.2369	3.2369	2018-01-23 22:30:00	0	0
USDCAD	1.2414	1.2418	2018-01-24 02:54:00	7416	7416
USDCHF	0.9576	0.9561	2018-01-24 02:54:00	4550	4550
USDCNY	6.4	6.3937	2018-01-24 02:54:00	62	62
USDCZK	20.634	20.612	2018-01-24 02:54:00	3094	3094
USDDKK	6.0524	6.0468	2018-01-24 02:54:00	8897	8897
USDHKD	7.8187	7.8185	2018-01-24 02:54:00	622	622
USDHUF	251.25	250.97	2018-01-24 02:54:00	8009	8009
USDINR	63.75	63.75	2018-01-23 20:28:00	0	0
USDJPY	110.29	110.07	2018-01-24 02:54:00	15557	15557
USDKRW	1072.89	1071.7	2018-01-24 02:54:00	3787	3787
USDMXN	18.691	18.6951	2018-01-24 02:54:00	4030	4030
USDMYR	3.925	3.915	2018-01-24 02:53:00	20	20
USDNOK	7.8212	7.8124	2018-01-24 02:54:00	6284	6284
USDPLN	3.3883	3.3843	2018-01-24 02:54:00	5463	5463
USDRUB	56.348	56.3752	2018-01-24 02:51:00	413	0
USDSAR	3.7501	3.75	2018-01-24 00:41:00	3	3
USDSEK	8.0055	7.9977	2018-01-24 02:54:00	5851	5851
USDSGD	1.3169	1.3164	2018-01-24 02:54:00	2378	2378
USDTHB	31.81	31.74	2018-01-24 02:53:00	1300	1300
USDTRY	3.765	3.7677	2018-01-24 02:54:00	6043	6043
USDTWD	29.207	29.255	2018-01-24 02:53:00	333	333
USDZAR	12.025	12.0282	2018-01-24 02:54:00	2446	2446
XAGUSD	17.045	17.028	2018-01-24 02:54:00	0	0
XAUUSD	1341.01	1340.7	2018-01-24 02:54:00	0	0
XPDUSD	1091.97	1093.95	2018-01-24 02:54:00	0	0
XPTUSD	1006.3	1001.99	2018-01-24 02:54:00	0	0
